news------------,7
this,5
is,8
the,18
first,2
news,4
in,3
feed,1
"chicago,",1
2022-02-18,1
,23
private,10
ad------------,10
ldjhagflkjdaflajfla,1
actual,10
until:,10
2022-11-13,1
"00:00:00,",10
267,1
days,10
left.,10
kasjflaksjfalkfja,1
2022-01-02,1
-48,1
a,3
text,5
of,5
ad,2
2022-01-03,1
-47,1
new,4
rivate,1
2023-11-12,1
631,1
blog,6
post------------,5
post,4
title,1
#,2
1,1
author:,5
anna,1
check,1
th,1
tag:,5
weather,2
test,2
2022-02-22,1
3,1
yujjhgjyhg,1
"jghgjh,",1
2022-02-23news------------,1
<_io.textiowrapper,1
name='c:/users/anna_kabanova/pycharmproject/python_dqe/file1.txt',1
mode='r',1
encoding='cp1252'>,1
"['test.\n',",1
'this,2
file,2
"file.\n',",2
"'\n',",3
'test,1
"2.\n',",1
second,1
'\n'],1
most,3
epic,3
all,3
over,3
world.,3
"paris,",3
2022-11-29,3
hi!,1
it`s,1
me,1
2022-12-05,1
5,1
topblogger,1
here,1
you,2
can,1
read,1
the..,1
still,1
exist?,1
2023-02-24,1
85,1
what,1
your,1
biggest,1
wish?,1
2023-01-01,1
31,1
not,1
important,2
meme,1
dodo,1
message,1
aren`t,1
found,1
here.,1
spam,1
furniture,1
2022-12-11,1
10,1
thy,1
tool,1
2022-12-15,1
14,1
happy,1
year,2
momo,1
sallivan,1
who,1
are,1
you?,1
wishes,2
santa,1
claus,1
ho-ho-ho.,1
do,1
have,1
christmas,1
tree?,1
presents,1
beaver,1
great,1
"riga,",1
2022-11-30,1
